,uuid,name,brand,street,house_number,post_code,city,latitude,longitude
6035,65a5184f-f2cf-45ae-99a2-c96bd84e1740,Hallbergmoos Ludwigstraße 54,OMV,Ludwigstr.,54,85399,Hallbergmoos,48.33372,11.73143
6045,65d95b09-e1cb-454f-b3da-49876ad84561,Geretsried Sudetenstraße 67,OMV,Sudetenstr.,67,82538,Geretsried,47.85358,11.49494
6090,66ac515e-7960-4cbd-9f23-d5230944c134,"NEUFARN, MUENCHNER STR.",Shell,MUENCHNER STR. 26,,85646,NEUFARN,48.147598,11.815544
6119,673c00ad-1de6-4876-9845-4ff43c0cec0e,Kirchheim Florianstraße 31,OMV,Florianstraße,31,85551,Kirchheim b. München,48.17562,11.76429
6124,67693691-5653-44b1-9c0f-1151ddc9ea40,ALLGUTH GmbH c/o Marco Stachowiak,ALLGUTH,Kreillerstr. ,220,81825,München,48.12134,11.663854
6136,67849bd9-a514-463b-b21b-f509e68329a9,"HAIMHAUSEN, HAUPTSTR.7.",Shell,HAUPTSTR. 7,,85778,Haimhausen,48.313144,11.550131
6162,67e59180-1bd0-4c5c-bc7d-f725d91f0a6d,Aral Tankstelle,ARAL,Grüneckerstraße,6,85375,Neufahrn,48.3130875,11.6651983
6199,689e1f81-7786-41e0-8f2c-cf722ca309f8,"MAMMENDORF, AUGSBURGER STR",Shell,AUGSBURGER STR. 49,,82291,MAMMENDORF,48.205613,11.156861
6306,6b6a0b44-e2f8-4fe5-a3ea-e4970d41dd13,Aral Tankstelle,ARAL,Münchener Straße,32,83629,Weyarn,47.8639832,11.7957964
6434,6eaab5b6-646e-4439-81fc-ce5005259a15,München Cosimastrasse 10,OMV,Cosimastr.,10,81927,München,48.15563,11.63
6444,6efb6909-7a8d-4e5d-ae70-1ce84dba7d7c,ALLGUTH GmbH c/o Sönmez Günan,ALLGUTH,Geiselbullacher Str. ,7,82140,Olching,48.22589,11.334475
6477,6fce5ae3-c3aa-43ff-a871-01e5fb754022,"HOLZKIRCHEN/OBERBAY., A8 HOL.",Shell,A8 HOLZKIRCHEN NORD,,83607,Holzkirchen/Oberbay.,47.89164,11.731673
6483,6fe2de8c-08f2-4c6d-ae5a-e4bf822e936f,Esso Tankstelle,ESSO,SONNENSTR. 5, ,85764,OBERSCHLEISSHEIM,48.248196,11.551243
6488,70062e6f-5a0d-4dac-9c74-bd060c912f88,Sedelmeier,,Friedrich-Schüle-Straße,18,85622,Feldkirchen,48.1496,11.74007
6641,739a6c24-254b-4c51-95ff-122c896b9bd7,ERDING - HAAGER STRASSE 34,Agip,Haager Strasse,34,85435,Erding,48.301689967369,11.908378217143
6695,74ff5ad6-e645-4dcc-bae1-e9e2e61af04f,"ASCHHEIM, ERDINGER STR.",Shell,ERDINGER STR. 6,,85609,ASCHHEIM,48.171355,11.719475
6745,765ea063-b104-4cb4-a8b1-f0387dc666a8,Tankstelle am E+C,E+C,Rennweg 41,,85435,Erding,48.31124,11.889902
6746,76649333-ff54-4855-b84b-e04c5bfcbd13,FELDKIRCHEN - BAT VATERSTETTEN OST,Agip,Rastanlage Vaterstetten-Ost,,85622,Feldkirchen,48.12396,11.76034
6757,76af2f1d-e4ed-4e86-9a29-0a527e0b4ba9,"FELDKIRCHEN, MUENCHNER STR.",Shell,MUENCHNER STR. 11,,85622,FELDKIRCHEN,48.145741,11.727692
6919,7a79843c-09fb-4985-b4d5-3b2d41dc0fd7,Aral Tankstelle,ARAL,Münchener Straße,37,85567,Grafing,48.0494,11.9658356
6950,7b2fc7a4-f619-4994-aa91-ce5d880899e0,"MUENCHEN, MENZIGER STR.",Shell,MENZIGER STR. 10,,80638,MUENCHEN,48.160089,11.511804
7035,7d147b50-229a-4ac4-8b38-17e7f4b3376b,Ismaning Münchner Strasse 47,OMV,Münchner Str.,47,85737,Ismaning,48.2256,11.67138
7056,7d7e9d1a-b830-4672-a0a1-1c5cc471c205,Aral Tankstelle,ARAL,Wasserburger Landstr.,51,81825,München,48.11972,11.6777344
7084,7e38e6ed-6e29-4bd2-bba1-8674739b5643,ECHING,Agip,Dieselstrasse,16,85386,Eching,48.310929,11.645722
7091,7e4d1a4f-b376-4cbe-a379-235b22613c83,Esso Tankstelle,ESSO,EBERSBERGER STR. 46, ,85570,MARKT SCHWABEN,48.185006,11.868998
7155,7f990b02-58ae-4670-b34c-94a09971c681,TOTAL Oberschleißheim,TOTAL,HICKLSTRASSE,2,85764,OBERSCHLEISSHEIM,48.265175,11.593216
7162,7fcad90f-1761-48ad-afc5-157befd7d2e1,Esso Tankstelle,ESSO,AMPERTAL 1, ,85777,FAHRENZHAUSEN,48.348772,11.564102
7205,80ce1182-e40d-4765-bbb7-f48060768a23,FUERSTENFELDBRUCK - MUENCHNER STRAS,Agip,Muenchner Strasse,24/26,82256,Fuerstenfeldbruck,48.17665,11.26006
7227,8131600b-0231-4c41-895e-b9b733125adc,Aral Tankstelle,ARAL,Landsberger Straße,2,82110,Germering,48.1368065,11.3909121
7236,8185cb0e-6dcf-42ad-a5e9-c63209564c96,V-Markt München Balanstrasse,V-Markt München Balanstrasse,Balanstr. ,50,81541,München,48.122192,11.597927
7453,86e9bb80-1255-4f31-84b8-87e043b1e005,MUENCHEN - ALLACHER STRASSE 78,super wash,Allacher Strasse,78,80997,Muenchen,48.177877,11.497085
7553,88dfaaf1-fad6-465a-924e-d675b3b11c23,"PUCHHEIM, EICHENAUER STR. 35.",Shell,EICHENAUER STR. 35,,82178,Puchheim,48.157986,11.334668
7605,8a2cc672-2c7f-4322-a74f-c80336e49c9e,Esso Tankstelle,ESSO,ROSENHEIMER LANDSTR. 73, ,85521,OTTOBRUNN,48.06125447,11.66379537
7678,8bf5c34a-c3f1-4e52-9173-38f6bebbcd3d,"MUENCHEN, FRANKFURTER RING",Shell,FRANKFURTER RING 87,,80807,MUENCHEN,48.187998,11.580609
7742,8d253362-4f6e-4851-be38-8c9551493d3d,Aral Tankstelle,ARAL,Grünwalder Straße,175C,81545,München,48.0963821,11.5641136
7806,8ed0d774-310b-4e49-815b-3879e89ba83c,BayWa Tankstelle Schönau,BayWa,Mailinger Strasse,9,83104,Schönau,47.95059,11.968211
7822,8f2e54d9-12b2-4f42-a012-6942c57688e9,Dachau Brucker Straße 79,OMV,Brucker Str.,79,85221,Dachau,48.25687,11.41902
7841,8f9beb3d-c617-47f1-08f7-cccb612a7dce,Süd-Treibstoff Tankstelle,Süd-Treibstoff Tankstelle,Dülfer Str.,52,80995,München,48.214985,11.546335
7862,8fec9d65-531f-447f-b2ef-4fafa4c094a4,Aral Tankstelle,ARAL,Zadarstrasse,11,82256,Fürstenfeldbruck,48.1775322,11.2272863
7961,92258abc-ff1e-4371-a60e-2a3779f926b2,Oberhaching Raiffeisenallee 7,OMV,Raiffeisenallee,7,82041,Oberhaching,48.03234,11.58462
8042,93dacb1f-72eb-4eb5-a922-5799cc2b1bf5,Aral Tankstelle,ARAL,Wasserburger Landstraße,3,85591,Vaterstetten,48.0962677,11.7713614
8204,9706a9e2-8632-4811-b56c-d3ac77042342,ALLGUTH GmbH  c/o André Dirnberger,ALLGUTH,Obere Bahnhofstr.,58,82110,Germering,48.12987,11.35939
8260,9826b023-5719-48c0-9571-e16641777879,Bavaria Petrol,Bavaria Petrol,Grünwalder Weg,42,82008,Unterhaching,48.0568466,11.5995913
8264,983529d6-7912-43c6-9748-933d49159ca6,BayWa Tankstelle Fürstenfeldbrück,BayWa,Hubertusstr.,1,82256,Fürstenfeldbrück,48.17844,11.23107
8338,9a305a86-0398-4c30-9070-9702d712d288,Emil Mayr,Frei,Erdinger Str. ,35,85452,Moosinning,48.27676,11.84478
8390,9b7f15f9-17db-4d6b-a606-ebc9f40826c2,"Aral Tankstelle, BAT HOLZKIRCHEN SÜD",ARAL,A,8/Schmiedstraße16,83607,Holzkirchen,47.90727,11.7173357
